Route Id,Route Id,Dept Time,Arr Time,Frequency,Origin,Dest,Active
PR,,,,,Cebu,Cagayan,
PR,2295,5:50:00,6:35:00,0b1111111,246,284,TRUE
PR,,,,,,,
PR,2296,7:15:00,8:00:00,0b1111111,284,246,TRUE
PR,,,,,,,
PR,,,,,Cebu,Davao,
PR,2263,8:40:00,9:50:00,0b1111111,246,278,TRUE
PR,,,,,,,
PR,2264,7:15:00,8:00:00,0b1111111,278,246,TRUE
PR,,,,,,,
PR,,,,,Cebu,Iloilo,
PR,2384,12:20:00,13:05:00,0b1111111,246,242,TRUE
PR,,,,,,,
PR,2385,13:45:00,14:30:00,0b1010100,242,246,TRUE
PR,2385,18:05:00,18:50:00,0b0101011,242,246,TRUE
PR,,,,,,,
PR,,,,,Cebu,Tacloban,
PR,2236,8:00:00,8:40:00,0b1111111,246,260,TRUE
PR,,,,,,,
PR,2237,6:40:00,7:20:00,0b1111111,260,246,TRUE
PR,,,,,,,
PR,,,,,General Santos,Iloilo,
PR,2892,15:55:00,17:25:00,0b0101011,276,242,TRUE
PR,,,,,,,
PR,2891,13:45:00,15:15:00,0b0101011,242,276,TRUE
PR,,,,,,,
PR,,,,,Zamboanga,Davao,
PR,2272,6:25:00,7:40:00,0b0101010,269,278,TRUE
PR,,,,,,,
PR,2273,8:20:00,9:35:00,0b0101010,278,269,TRUE
PR,,,,,,,
PR,,,,,Manila,Bacolod,
PR,2129,4:25:00,5:40:00,0b1111111,219,240,TRUE
PR,2131,8:20:00,9:35:00,0b1111111,219,240,TRUE
PR,2133,13:20:00,14:35:00,0b1111111,219,240,TRUE
PR,2135,16:00:00,17:15:00,0b1111111,219,240,TRUE
PR,2137,19:55:00,21:05:00,0b1111111,219,240,TRUE
PR,,,,,,,
PR,2130,6:20:00,7:30:00,0b1111111,240,219,TRUE
PR,2132,10:15:00,11:25:00,0b1111111,240,219,TRUE
PR,2134,15:15:00,16:25:00,0b1111111,240,219,TRUE
PR,2136,17:55:00,19:05:00,0b1111111,240,219,TRUE
PR,2138,21:45:00,22:55:00,0b1111111,240,219,TRUE
PR,,,,,,,
PR,,,,,Manila,Basco,
PR,2084,6:00:00,7:45:00,0b1111111,219,210,TRUE
PR,2086,7:00:00,8:45:00,0b1111111,219,210,FALSE
PR,,,,,,,
PR,2085,8:10:00,9:50:00,0b1111111,210,219,TRUE
PR,2087,9:10:00,10:50:00,0b1111111,210,219,FALSE
